地区名,最寄駅距離（分）,取引価格,間取り,面積（㎡）,建築年,築年数,構造,都市計画,建ぺい率（％）,容積率（％）,取引年,改装
戸塚町,16,37000000,３ＬＤＫ,65,平成29年,2,ＲＣ,工業地域,60,200,2019,未改装
戸塚町,21,25000000,３ＬＤＫ,75,平成17年,14,ＲＣ,工業地域,60,200,2019,未改装
戸塚町,11,41000000,３ＬＤＫ,80,平成15年,16,ＲＣ,工業地域,60,200,2019,未改装
戸塚町,10,25000000,３ＬＤＫ,65,昭和60年,34,ＲＣ,第１種住居地域,60,200,2019,改装済
戸塚町,14,27000000,３ＬＤＫ,65,平成3年,28,ＲＣ,第１種住居地域,60,200,2019,改装済
戸塚町,20,30000000,３ＬＤＫ,65,平成11年,20,ＲＣ,第１種中高層住居専用地域,60,150,2019,未改装
戸塚町,7,38000000,２ＬＤＫ,60,平成13年,18,ＲＣ,近隣商業地域,80,400,2019,改装済
戸塚町,14,29000000,４ＬＤＫ,90,平成3年,28,ＲＣ,第１種住居地域,60,200,2019,未改装
戸塚町,8,26000000,１ＬＤＫ,55,平成13年,18,ＲＣ,近隣商業地域,80,400,2019,未改装
戸塚町,45,2800000,１ＬＤＫ,45,昭和45年,49,ＲＣ,第２種住居地域,60,200,2019,未改装
戸塚町,15,48000000,４ＬＤＫ,95,平成18年,13,ＲＣ,第２種住居地域,60,200,2019,未改装
戸塚町,18,38000000,３ＬＤＫ,65,平成29年,2,ＲＣ,工業地域,60,200,2019,改装済
戸塚町,18,30000000,３ＬＤＫ,90,平成17年,14,ＲＣ,工業地域,60,200,2019,未改装
名瀬町,24,17000000,２ＬＤＫ,55,昭和55年,41,ＲＣ,準工業地域,60,200,2021,改装済
名瀬町,26,28000000,３ＬＤＫ,70,平成22年,10,ＲＣ,準工業地域,60,200,2020,未改装
名瀬町,26,27000000,４ＬＤＫ,90,平成22年,10,ＲＣ,準工業地域,60,200,2020,未改装
